"filename", "language", "PHP", "XML", "JavaScript", "HTML", "CSS", "SQL", "Ini", "comment", "blank", "total"
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\.private\config.php.ini", "Ini", 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\admin_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 3, 7
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\admin_perfil_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\ajaxconsultas.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 13, 18, 68
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\cerrarsesion.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 3, 2, 11
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\admin_perfil_controller.php", "PHP", 119, 0, 0, 0, 0, 0, 0, 49, 71, 239
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\enviar_membresia_controller.php", "PHP", 99, 0, 0, 0, 0, 0, 0, 40, 59, 198
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\hotel_turista_controller.php", "PHP", 86, 0, 0, 0, 0, 0, 0, 58, 77, 221
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\login_controller.php", "PHP", 132, 0, 0, 0, 0, 0, 0, 70, 103, 305
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\pagina_admin_controller.php", "PHP", 108, 0, 0, 0, 0, 0, 0, 47, 73, 228
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\pago_admin_controller.php", "PHP", 95, 0, 0, 0, 0, 0, 0, 32, 69, 196
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\perfil_restaurante_controller.php", "PHP", 172, 0, 0, 0, 0, 0, 0, 64, 138, 374
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\registro_controller.php", "PHP", 349, 0, 0, 0, 0, 0, 0, 128, 182, 659
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\registroadmin_controller.php", "PHP", 86, 0, 0, 0, 0, 0, 0, 33, 62, 181
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\resenas_controller.php", "PHP", 227, 0, 0, 0, 0, 0, 0, 100, 184, 511
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\restaurante_principal_controller.php", "PHP", 479, 0, 0, 0, 0, 0, 0, 149, 294, 922
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\restaurantes_vencidos_controller.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 23, 50, 134
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\solicitudes_restaurante_controller.php", "PHP", 92, 0, 0, 0, 0, 0, 0, 35, 77, 204
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\turista_perfil_controller.php", "PHP", 258, 0, 0, 0, 0, 0, 0, 107, 173, 538
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\turista_principal_controller.php", "PHP", 137, 0, 0, 0, 0, 0, 0, 85, 107, 329
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\controllers\turista_restaurante_controller.php", "PHP", 161, 0, 0, 0, 0, 0, 0, 68, 133, 362
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\css\Ingreso.css", "CSS", 0, 0, 0, 0, 422, 0, 0, 1, 67, 490
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\css\nuevoregister.css", "CSS", 0, 0, 0, 0, 382, 0, 0, 1, 10, 393
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\css\post-login.css", "CSS", 0, 0, 0, 0, 879, 0, 0, 11, 95, 985
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\css\restaurantestyles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\css\styles.css", "CSS", 0, 0, 0, 0, 167, 0, 0, 0, 0, 167
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\db\db.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 13, 14, 54
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\db\saborizameCreate.sql", "SQL", 0, 0, 0, 0, 0, 151, 0, 0, 18, 169
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\db\saborizameInserts.sql", "SQL", 0, 0, 0, 0, 0, 281, 0, 0, 28, 309
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\enviar_membresia_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\error.html", "HTML", 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
